iter	F1	Logloss
0	0.8054298643	0.6758427587
1	0.8189655172	0.6617034375
2	0.8347826087	0.6456069196
3	0.8281938326	0.6295354824
4	0.8384279476	0.6160585153
5	0.8487394958	0.6047264831
6	0.8474576271	0.5928621881
7	0.875	0.5784255469
8	0.8583333333	0.5658633915
9	0.846473029	0.5587420693
10	0.8368200837	0.5464560334
11	0.8368200837	0.5355958955
12	0.8487394958	0.5263445128
13	0.8416666667	0.519182667
14	0.85	0.5129731756
15	0.85	0.5067527503
16	0.846473029	0.4994781791
17	0.8571428571	0.4906465751
18	0.8571428571	0.4841652332
19	0.8535564854	0.4775483607
20	0.8571428571	0.4694614658
21	0.8571428571	0.4633114656
22	0.8487394958	0.4618128571
23	0.85	0.4568938399
24	0.846473029	0.4521022159
25	0.8547717842	0.4454462264
26	0.8547717842	0.4405318568
27	0.8547717842	0.4364620604
28	0.85	0.4331688112
29	0.85	0.4293687708
30	0.8535564854	0.4282818463
31	0.8571428571	0.4220888848
32	0.8607594937	0.4171085235
33	0.8619246862	0.4134077648
34	0.8655462185	0.4113751419
35	0.8655462185	0.4092357228
36	0.870292887	0.4053082996
37	0.8728813559	0.4014559507
38	0.8728813559	0.397471318
39	0.8803418803	0.3936585928
40	0.885106383	0.3902129905
41	0.8755364807	0.3873998501
42	0.8658008658	0.3841194831
43	0.8706896552	0.3799439736
44	0.8755364807	0.3755356233
45	0.8755364807	0.3711003787
46	0.8803418803	0.3686938567
47	0.8803418803	0.3670356926
48	0.8803418803	0.3651295332
49	0.8755364807	0.3631499859
50	0.8793103448	0.3605178387
51	0.8793103448	0.3563322197
52	0.8793103448	0.353548216
53	0.8744588745	0.3504604086
54	0.8793103448	0.3479771468
55	0.8793103448	0.3461401122
56	0.8793103448	0.3443461547
57	0.8793103448	0.3424784097
58	0.8793103448	0.341723176
59	0.8793103448	0.3382695312
60	0.8841201717	0.3353123168
61	0.8841201717	0.3340301288
62	0.8888888889	0.3328557245
63	0.8879310345	0.3315893551
64	0.8927038627	0.3300674889
65	0.8879310345	0.3270605073
66	0.8927038627	0.325780801
67	0.8974358974	0.3240632554
68	0.8974358974	0.3221440426
69	0.8974358974	0.3195143371
70	0.8927038627	0.3187772791
71	0.8879310345	0.3172848325
72	0.8974358974	0.3151231423
73	0.8974358974	0.3133373269
74	0.9021276596	0.3116832714
75	0.9021276596	0.3102476061
76	0.906779661	0.307845784
77	0.9113924051	0.3063980413
78	0.9113924051	0.3060094289
79	0.9113924051	0.3045217331
80	0.9159663866	0.3032833651
81	0.9159663866	0.3021945391
82	0.9159663866	0.3010944823
83	0.9159663866	0.3008271714
84	0.9152542373	0.2988339965
85	0.9152542373	0.2975649228
86	0.9152542373	0.2957820633
87	0.9198312236	0.293563577
88	0.9198312236	0.2923079227
89	0.9198312236	0.2911078329
90	0.9198312236	0.2901606706
91	0.9243697479	0.2883954257
92	0.9243697479	0.2877395703
93	0.9243697479	0.286741925
94	0.9243697479	0.2858902659
95	0.9243697479	0.2846557292
96	0.9243697479	0.2832298999
97	0.9243697479	0.2821038756
