iter	Passed	Remaining
0	15	15835
1	43	21921
2	83	27714
3	113	28294
4	145	28931
5	175	29083
6	206	29322
7	236	29331
8	269	29650
9	283	28052
10	327	29486
11	356	29316
12	384	29221
13	413	29129
14	443	29095
15	471	28974
16	500	28919
17	528	28813
18	556	28713
19	584	28634
20	612	28573
21	641	28535
22	651	27690
23	680	27668
24	704	27482
25	735	27541
26	766	27620
27	797	27668
28	833	27917
29	863	27935
30	874	27327
31	903	27342
32	935	27419
33	964	27400
34	992	27368
35	1006	26963
36	1035	26949
37	1063	26921
38	1094	26961
39	1122	26944
40	1151	26945
41	1175	26803
42	1204	26817
43	1233	26796
44	1261	26773
45	1289	26748
46	1317	26722
47	1346	26712
48	1374	26683
49	1403	26667
50	1431	26642
51	1463	26683
52	1491	26650
53	1519	26626
54	1548	26610
55	1578	26603
56	1594	26372
57	1622	26346
58	1636	26105
59	1665	26086
60	1694	26089
61	1723	26075
62	1753	26078
63	1781	26055
64	1808	26017
65	1836	25993
66	1864	25964
67	1892	25937
68	1920	25917
69	1948	25889
70	1976	25861
71	2016	25996
72	2044	25962
73	2074	25958
74	2105	25964
75	2133	25940
76	2163	25928
77	2191	25903
78	2210	25773
79	2240	25768
80	2268	25741
81	2298	25727
82	2325	25691
83	2346	25586
84	2374	25560
85	2403	25542
86	2432	25530
87	2460	25495
88	2487	25463
89	2517	25453
90	2547	25446
91	2574	25413
92	2602	25384
93	2632	25371
94	2647	25218
95	2676	25201
96	2704	25173
97	2731	25145
98	2759	25111
99	2788	25094
100	2817	25079
101	2827	24895
102	2855	24868
103	2884	24852
104	2912	24824
105	2942	24816
106	2974	24822
107	3002	24802
108	3031	24779
109	3059	24754
110	3087	24730
111	3115	24701
112	3149	24723
113	3177	24695
114	3206	24673
115	3225	24579
116	3253	24555
117	3280	24521
118	3308	24495
119	3336	24470
120	3368	24466
121	3396	24445
122	3425	24427
123	3454	24402
124	3481	24372
125	3511	24359
126	3540	24337
127	3568	24310
128	3603	24331
129	3634	24325
130	3666	24323
131	3697	24314
132	3726	24291
133	3754	24264
134	3782	24236
135	3801	24152
136	3830	24131
137	3859	24107
138	3894	24121
139	3922	24098
140	3950	24069
141	3978	24036
142	4015	24066
143	4046	24056
144	4076	24034
145	4105	24015
146	4134	23991
147	4166	23987
148	4195	23961
149	4210	23861
